Eu estou comendo queijo.	Eu comi o queijo.
Eu te pedi para deixar o Tom em paz.	Eu te disse que deixasses o Tom em paz.
Eu te pedi para deixar o Tom em paz.	Eu te pedi que deixasses o Tom sozinho.
Você nunca ficará sozinho novamente.	Você nunca ficará sozinha novamente.
Você está em Paris?	Vocês estão em Paris?
Eu conheço uma garota que está sempre sorrindo.	Conheço uma menina que sempre está sorrindo.
Eu mesmo vou consertar aquela máquina.	Eu mesmo irei consertar aquela máquina.
É um faisão.	Isso é um faisão.
Você não deveria vê-la agora.	Seria melhor se você não a visse agora.
Vocês não deveriam vê-la agora.	Seria melhor se você não a visse agora.
É melhor você não a ver agora.	Seria melhor se você não a visse agora.
É melhor vocês não a verem agora.	Seria melhor se você não a visse agora.
Seria melhor se você não a visse agora.	É preferível você não encontrá-la agora.
Seria melhor se você não a visse agora.	Seria melhor que você não se encontrasse com ela agora.
Eu gosto das montanhas mais do que do mar.	Gosto mais do monte que do mar.
Eu gosto das montanhas mais do que do mar.	O monte me agrada mais que o mar.
Eu gosto das montanhas mais do que do mar.	Prefiro a montanha ao mar.
Eu gosto das montanhas mais do que do mar.	Eu prefiro as montanhas ao mar.
Não sou bom em desenhar.	Eu não sou bom desenhando.
A mota bateu no poste do telégrafo.	A motocicleta chocou-se com o poste do telégrafo.
A excursão não vai durar menos que 8 horas.	A excursão vai durar pelo menos oito horas.
A festa terminou à meia-noite.	A festa chegou ao fim a meia-noite.
A mãe colocou uma faixa sobre o ferimento de Jim.	A mãe colocou um curativo no ferimento de Jim.
Você foi à escola ontem?	Tu foste ao colégio ontem?
Você já viu uma baleia?	Já viste uma baleia?
Você já esteve em Kobe?	Estiveras alguma vez em Kobe?
Você já esteve em Kobe?	Você já tinha estado alguma vez em Kobe?
Você esteve em Quioto?	Você já visitou Quioto?
Você já esteve em Tóquio?	Já estivestes em Tóquio?
Você não tem que levantar cedo.	Vocês não têm que levantar cedo.
Você não tem que levantar cedo.	Tu não tens que levantar cedo.
Você não sabe o nome dele?	Não sabes o nome dele?
Ele tem um belo corpo.	Ela tem um ótimo corpo.
Ela tem um bonito corpo.	Ela tem um ótimo corpo.
Dê-me dois gizes.	Traga-me dois gizes.
Tom estava lutando.	Tom lutou.
Achava que você estava morto.	Pensava que tinhas morrido.
"Quer deixar uma mensagem?" "Não, obrigado."	"Queres deixar recado?" "Não, obrigado".
''Você quer deixar uma mensagem?'' ''Não, obrigado.''	"Queres deixar recado?" "Não, obrigado".
Tom me ligou.	Recebi uma ligação de Tom.
É como um sonho.	É como um sonho tornado realidade.
Ele conhece Nova Iorque como ninguém.	Ele conhece Nova Iorque de cabo a rabo.
O computador reconhece duzentos diferentes tipos de erro.	O computador pode detectar 200 tipos de erros.
Tenho estudado inglês por quatro anos.	Durante quatro anos aprendi a língua inglesa.
Que lindo colar.	É um belo colar.
Quando começamos neste negócio, disseram que nos daríamos mal.	Quando iniciamos nessa atividade comercial, muitos disseram que fracassaríamos.
Haviam inúmeras estrelas no céu.	Inúmeras estrelas cintilavam no céu.
Incontáveis estrelas brilhavam no céu.	Inúmeras estrelas cintilavam no céu.
Não conseguia ver nenhuma estrela no céu.	Nenhuma estrela podia ser vista no céu.
Não se via nem uma só estrela no céu.	Nenhuma estrela podia ser vista no céu.
Eu gosto de comida chinesa.	Eu amo comida chinesa.
Eu gosto de comida chinesa.	Eu adoro comida chinesa.
Quem falou a você sobre isso?	Quem lhe contou a história?
Ele se sentou perto dela.	Ela se sentou perto dele.
Ela sentou-se ao lado dele.	Ela se sentou perto dele.
Ela se sentou perto dele.	Ela se sentou junto dele.
Ele sentou-se ao lado dela.	Ela se sentou perto dele.
Gostaria de que você fosse ao correio para mim.	Quero que você vá ao correio.
Eu já tinha ouvido essa música uma vez.	Eu já escutei essa canção uma vez.
Eu poderia ajudar.	Eu pude ajudar.
Eu pude ajudar.	Eu poderia ter ajudado.
Eu estava cuidando de Tom.	Eu cuidei de Tom.
Eu cuidei de Tom.	Cuidei de Tom.
Você pode me fazer isso?	Você pode entregar isso?
Isso era previsível.	Aquilo devia ter sido esperado.
Você ficará comigo.	Vocês vão ficar comigo.
Você ficará comigo.	Vocês ficarão comigo.
Você vai ficar comigo.	Você ficará comigo.
Você tem uma escolha.	Vocês têm uma escolha.
Onde o meu dinheiro está?	Cadê o meu dinheiro?
Que cena linda!	Que cena bonita!
Que vista maravilhosa.	Que cena bonita!
Que vista linda!	Que cena bonita!
Que bela vista!	Que cena bonita!
Que cena bonita!	Que vista magnífica!
Eu estou em Boston agora.	Ela está em Boston.
Ela está em Boston.	Estou em Boston.
Você está bêbado demais.	Você está bêbada demais.
Nós estamos muito bêbados.	Estamos muito bêbados.
Eles amam música.	Eles adoram música.
Nós estamos desesperados.	Estamos desesperados.
Ele tinha o cabelo comprido o ano passado.	Ano passado ele tinha cabelo comprido.
Ela estava de cabelo comprido no ano passado.	Ano passado ele tinha cabelo comprido.
No ano passado eu tinha cabelo comprido.	Ano passado ele tinha cabelo comprido.
Ano passado ele tinha cabelo comprido.	Ano passado ela estava de cabelos longos.
Ano passado ele tinha cabelo comprido.	Ano passado ela tinha cabelos longos.
Estou convencido de que a situação vai mudar para melhor.	Estou convencido que as coisas iram mudar para melhor.
É um novo dia.	Hoje é um novo dia!
Vamos lá, levante.	Ei, acorde!
Qual é, levante.	Ei, acorde!
Graham Greene é meu escritor favorito.	Graham Greene é um dos meus autores favoritos.
Graham Greene é meu escritor favorito.	Graham Greene é um de meus escritores favoritos.
Ela sente muita falta de sua família.	Ele sente muita saudade de sua família.
Você tem uma câmara?	Você têm uma câmera fotográfica?
Eu não o encontrei.	Eu ainda não o conheço.
Eu a vi semana passada.	Vi-o semana passada.
Eu me encontrei com Jane um dia destes.	Eu conheci Jane recentemente.
Eu gosto de astrologia.	Eu amo Astronomia.
Eu caminhava ao longo do rio.	Eu ladeava o rio.
Eu dormi no barco.	Dormi no barco.
Meu pai ficou velho.	Meu pai envelheceu.
Meu pai ficou velho.	O meu pai envelhecia.
Quanto tempo você vai estar em Londres?	Até quando você ficará em Londres?
Encontrei-me com Maria e João em Londres.	Encontrei Marie e John em Londres.
Vi-o outro dia.	Eu o encontrei no dia anterior.
O tênis é meu esporte preferido.	Tênis é meu esporte favorito.
É inevitável.	Isso não é evitável.
A capital do Reino Unido é Londres.	Londres é a capital da Inglaterra.
A capital do Reino Unido é Londres.	Londres é a capital do Reino Unido.
Tom é um veterano de guerra.	Tom é um veterano.
É verdade que você vai estudar em Londres?	Você vai realmente estudar em Londres?
Você vai realmente estudar em Londres?	É verdade que vais estudar para Londres?
O Tom tem trinta anos.	Tom está chegando aos trinta.
O Tom tem trinta anos.	Tom tinha trinta anos.
O Tom tem trinta anos.	Tom tem quase trinta anos.
O Tom tem trinta anos.	Tom tem trinta anos de idade.
O Tom tem trinta anos.	Tom tem 30 anos.
O Tom tem trinta anos.	Tom tinha 30 anos.
Tom tem toda a razão.	Tom está absolutamente correto.
Tom estava agindo de modo estranho.	Tom se comportou estranhamente.
Essa é a senhora Lee, a mãe de Susan, em Londres.	Aqui de Londres quem fala é a senhora Lee, mãe de Susan.
O Bell morou em Londres, não é?	O Bell morava em Londres, né?
Quanto dá de Nova York até Londres?	Qual é a distância entre Nova York e Londres?
Sua teoria é difícil de entender.	É difícil entender a teoria dele.
Eu te deixei uma mensagem.	Deixei-lhe uma mensagem.
Eu te deixei uma mensagem.	Deixei-lhes uma mensagem.
Eu te deixei uma mensagem.	Deixei-vos uma mensagem.
Eu te deixei uma mensagem.	Eu deixei uma mensagem para ele.
O assassinato é passível de pena capital.	O homicídio é passível de pena de morte.
Não foi sempre assim.	Nem sempre foi assim.
Tom falou com Maria.	Tom estava falando com a Mary.
Tom falou com Maria.	Tom conversou com Maria.
Tom falou com Maria.	Tom conversou com a Mary.
Tom falou com Maria.	Tom bateu um papo com a Mary.
Tom estava falando com Maria.	Tom falou com Maria.
Vem ver isso!	Venham ver isso!
Vem ver isso!	Venha ver isto.
Eu não posso explicar a ausência dela da escola.	Eu não sei dizer o porquê de ela ter faltado à escola.
Aqui é quente mesmo no verão.	No verão, faz muito calor aqui.
Eu amo espanhol!	Eu adoro espanhol!
Você está dizendo que não quer ir?	Vocês está dizendo que não querem ir?
Ele é grande o bastante para viajar sozinho.	Agora ele é bastante velho para viajar sozinho.
Ela ligou para o psiquiatra.	Ela telefonou ao psiquiatra.
Tom queria dinheiro.	Tom precisa de algum dinheiro.
Tom precisa de algum dinheiro.	Tom precisava do dinheiro.
Tom pediu dinheiro.	Tom precisa de algum dinheiro.
O importante é que nosso gato morreu ontem.	Meu gato morreu ontem.
Não havia rádio na época.	Não havia rádio naquela época.
Ontem ele não foi à escola.	Ele não veio à escola ontem.
Tom é nosso líder.	Tom é o nosso guia.
Nos céus brilham estrelas.	As estrelas brilham no firmamento.
As estrelas estão brilhando no céu.	As estrelas brilham no firmamento.
Ele fez isso pelo bem da sociedade.	Ele o fez pensando no bem da comunidade.
Já vi esta imagem antes.	Já assisti aquele filme.
Já vi aquele filme.	Já vi esta imagem antes.
Eu já vi este filme.	Já vi esta imagem antes.
Eu já assisti a esse filme.	Já vi esta imagem antes.
Já vi esse filme.	Já vi esta imagem antes.
Eu vi a foto antes.	Já vi esta imagem antes.
Já falei com Tom sobre aquele assunto.	Já conversei com Tom sobre esse assunto.
Eu ainda gosto do Tom.	Eu sempre gostei de Tom.
Eu ainda amo Tom.	Eu sempre gostei de Tom.
A capital do Brasil é Brasília.	Brasília é a capital do Brasil.
Ela confiou em você.	Ela confiou em ti.
Ela confiou em vocês.	Ela confiou em ti.
Ela confiava em você.	Ela confiou em ti.
Ela confiava em vocês.	Ela confiou em ti.
Ela confiou em ti.	Ela confiava em ti.
Um arquivo MP3 é um arquivo de áudio.	Um ficheiro MP3 é um ficheiro de áudio.
Você é a favor ou contra aquela política?	Está a favor ou contra essa política?
Ela ia ficando cada vez mais bonita com o passar dos anos.	Conforme foi crescendo, ela ficou cada vez mais bonita.
Com o passar dos anos, ela ficava cada vez mais bela.	Conforme foi crescendo, ela ficou cada vez mais bonita.
Vou trocar minha camisa.	Eu vou trocar de camiseta.
Eles estavam bem.	Elas estavam bem.
Eu sou de Boston.	Eu venho de Boston.
Sou de Boston.	Eu venho de Boston.
Você deve comer.	Você deveria comer.
Elas se ajudaram.	Eles se ajudam mutuamente.
Eles se ajudaram.	Eles se ajudam mutuamente.
Tom não era bom.	Tom foi grosseiro.
Tom estava passando mal.	Tom foi grosseiro.
O Canadá fica ao norte dos Estados Unidos.	O Canadá se encontra sobre a parte norte da América.
Fala-se francês e inglês no Canadá.	Francês e inglês são falados no Canadá.
Fala-se inglês e francês no Canadá.	Francês e inglês são falados no Canadá.
Eu sei como fazer.	Eu conheço a canção.
Eu sei como isso vai.	Eu sei como fazer.
Você sabe de quem é este carro?	Você sabe a quem pertence este carro?
Você conhece lojas baratas?	Mostre-me alguma loja barata.
Para falar a verdade, estou no maior tédio.	Para dizer-lhe a verdade, estou completamente chateado.
Preciso de ajuda agora.	Eu preciso de ajuda agora!
Eles acreditam no Tom.	Eles confiam em Tom.
Posso contar com você?	Posso confiar nele?
Posso contar com você?	Posso contar contigo?
Ele só sabia falar alemão.	Ela só falava alemão.
Ele só sabia alemão.	Ela só falava alemão.
Tom vai ao show.	O Tomás vai ao concerto.
Ele ainda não respondeu à minha carta.	Ele ainda não me deu nenhuma resposta.
Ele ainda não me respondeu.	Ele ainda não respondeu à minha carta.
Você está esperando alguém?	Estás esperando alguém?
Você está esperando alguém?	Está esperando alguém?
Você está esperando alguém?	Estão esperando alguém?
Você está esperando alguém?	Você está esperando alguma coisa?
Na segunda-feira passada eu não fui à escola.	Segunda-feira passada não fui ao colégio.
Trabalho de professor.	Eu trabalho como professor.
Você não aprende isso na escola.	Eles não te ensinam isso na escola.
Eu sei que você me ama.	Eu sei que você está apaixonada por mim.
Eles têm os seus próprios problemas.	Normalmente, as crianças gostam de bala.
Eu gosto muito de ouvir música clássica.	Eu gosto de escutar música clássica.
Eu gosto de desenhar.	Eu gosto de tirar fotos.
Eu gosto de desenhar.	Adoro tirar fotos.
Eu gosto de desenhar.	Eu adoro tirar fotos.
Eu gosto de desenhar.	Gosto de desenhar.
Eu amo pegadinhas.	Eu gosto muito de fazer gracejos.
Eu gosto muito de brincar.	Eu amo pegadinhas.
Eu adoro piadas.	Eu amo pegadinhas.
Não gosto da sua cara.	A cara dela não me agrada.
Ela gosta mesmo de bolos.	Ela adora bolos.
Ela tem uma paixão por bolos.	Ela adora bolos.
Ela ama flores.	Ela gosta imenso de flores.
Ela gosta muito de flores.	Ela ama flores.
Ela gostava de falar de si mesma.	Ela gostava de conversar a respeito de si mesma.
Você gosta de beisebol?	Eles não gostam de beisebol?
Você gosta de basebol?	Eles não gostam de beisebol?
Eles não gostam de beisebol?	Vocês gostam de basebol?
Minha irmã ama a música.	Minha irmã adora a música.
Eles amam isso.	Eles adoram isso.
O cavalo é preto?	O cavalo é negro?
Ela vestia preto.	Ela vestia negro.
Ela estava vestida de preto.	Ela vestia preto.
Ele estava vestido de preto.	Ela vestia preto.
O teu carro, a cor dele é preta?	Teu carro é preto?
Um quadro não tem de ser negro.	Um quadro-negro não tem que ser negro.
Um quadro não tem de ser negro.	Os quadros não são sempre negros.
Um quadro não tem de ser negro.	Os quadros-negros nem sempre são pretos.
Eu prefiro o preto.	Prefiro essa preta aqui.
Eu prefiro a preta.	Prefiro essa preta aqui.
De repente, tudo ficou preto.	De repente, eu apaguei.
O corvo é preto como carvão.	Um corvo é tão negro quanto carvão.
O corvo é negro como o carvão.	Um corvo é tão negro quanto carvão.
Um corvo é tão negro quanto carvão.	A gralha é preta como carvão.
Ela estava usando um chapéu preto.	Usava um chapéu preto.
Uma menina bonita de cabelo preto estava no parque.	A bela garota de cabelos negros estava no parque.
O papel negro absorve a luz.	Roupa preta absorve luz.
Nuvens pretas estão se juntando. Vai chover.	Nuvens pretas estão se reunindo. Chuverá.
Saiu fumaça da chaminé.	Fumaça negra saiu da chaminé
Ambas as jovens estão vestidas de branco.	Ambas as garotas estão usando conjuntos brancos.
A parede é branca por dentro e verde por fora.	A parede é branca do lado de dentro e verde do lado de fora.
Até mais ver, Sayoko.	Tchau, Sayoko.
Tchau, Sayoko.	Adeus, Sayoko!
Até logo, Sajoko.	Tchau, Sayoko.
Até mais, Sayoko.	Tchau, Sayoko.
Até logo, Sayoko.	Tchau, Sayoko.
Eu não sei onde Tom guarda o seu guarda-chuva.	Não sei onde Tom guarda o guarda-chuva dele.
Ela consertou meu guarda-chuva.	Consertou meu guarda-chuva.
Onde você perdeu seu guarda-chuva?	Onde tu perdeste teu guarda-chuva?
Onde está meu guarda-chuva?	Cadê meu guarda-chuva?
O Tom quase esqueceu o guarda-chuva no restaurante.	Tom quase esquece seu guarda-chuva no restaurante.
Estou sempre esquecendo meu guarda-chuva no trem.	Eu sempre acabo esquecendo meu guarda-chuva dentro do trem.
Esse é o seu guarda-chuva, não é?	Esta é a sombrinha dele, né?
Esse é o seu guarda-chuva, não é?	Acho que esta é a sombrinha dele.
Esse é o seu guarda-chuva, não é?	Esta só pode ser a sombrinha dele.
Eu esqueci de trazer o guarda-chuva.	Esqueci de trazer meu guarda-chuva comigo.
Você deve levar consigo um guarda-chuva hoje.	Você deveria levar uma sombrinha hoje.
Perdi meu guarda-chuva. Eu tenho que comprar um novo.	Eu perdi meu guarda-chuva. Tenho que comprar um novo.
Eu perdi meu guarda-chuva. Tenho que comprar um novo.	Perdi meu guarda-chuva. Tenho de comprar um novo.
Este guarda-chuva será seu.	Este guarda-chuva será dela.
Eu acho melhor que você leve um guarda-chuva para o caso de chover.	Eu acho melhor levares um guarda chuva, caso chova.
Vou te emprestar este dicionário.	Te emprestarei esse dicionário.
Eu vou emprestar esse dicionário para você.	Te emprestarei esse dicionário.
Eu estou com a chave.	Sou eu que tenho a chave.
Tenho a impressão de ter perdido as minhas chaves.	Estou com a impressão de que perdi as chaves.
Acho que perdi minhas chaves.	Estou com a impressão de que perdi as chaves.
Parece que eu perdi minhas chaves.	Estou com a impressão de que perdi as chaves.
Eu estou com a chave de Tom.	Estou com as chaves do Tom.
É a chave.	Aquela é a chave.
Quem dinheiro tiver, fará o que quiser.	Poderoso cavaleiro é Dom Dinheiro.
Quem dinheiro tiver, fará o que quiser.	Tudo cede àquele que tem dinheiro.
O dinheiro é rei.	Quem dinheiro tiver, fará o que quiser.
O dinheiro pode tudo.	Quem dinheiro tiver, fará o que quiser.
Quem dinheiro tiver, fará o que quiser.	Uma chave dourada abre todas as portas.
O dinheiro governa o mundo.	Quem dinheiro tiver, fará o que quiser.
O dinheiro fala mais alto.	Quem dinheiro tiver, fará o que quiser.
O dinheiro manda.	Quem dinheiro tiver, fará o que quiser.
Me dá as chaves do teu carro.	Dê-me as chaves do seu carro.
Quando você voltou para casa?	Quando vocês voltaram para casa?
O meu relógio está dez minutos adiantado.	Meu relógio está atrasado dez minutos.
Eles estavam nadando.	Eles nadavam.
Eles estavam nadando.	Elas estavam nadando.
Eles estavam nadando.	Elas nadavam.
Eles estavam nadando.	Eles nadaram.
Eles estavam nadando.	Elas nadaram.
Eu não vejo muito bem.	Eu não enxergo muito bem.
Eu não vejo muito bem.	Eu enxergo mal.
Eu não vejo muito bem.	Minha vista não é boa.
Eu não vejo muito bem.	Eu não consigo ver bem.
Eu não vejo muito bem.	Minha vista é fraca.
Eu não vejo muito bem.	Eu consigo ver mal.
Esta chave não entra na fechadura.	Esta chave não cabe na fechadura.
Onde está a chave do meu carro?	Onde está as chaves do meu carro?
Eu perdi as chaves por aqui.	Perdi minha chave em algum lugar por aqui.
Eu queria fechar a porta, mas perdi a chave.	Eu quis fechar a porta, mas perdera a chave.
Eu queria fechar a porta, mas perdi a chave.	Eu quis trancar a porta, mas tinha perdido a chave.
Tom perdeu a chave de seu carro.	Tom perdeu as chaves do carro.
Tom perdeu as chaves do carro.	Tom perdeu a chave do carro dele.
Tom perdeu a chave de casa.	Tom perdeu a chave da casa dele.
Eu deixei as minhas chaves em cima da mesa. Você pode trazê-las para mim?	Deixei minhas chaves sobre a mesa. Posso incomodá-lo a fim de que as traga para mim?
Eu deixei minhas chaves na mesa. Você pode trazê-las para mim, por favor?	Eu deixei as minhas chaves em cima da mesa. Você pode trazê-las para mim?
Eu estou procurando as minhas chaves.	Estou procurando minhas chaves.
Eu perdi a chave do meu carro.	Perdi a chave de meu carro.
Como sempre, ele pôs a chave na mesa.	Ele colocou a chave na mesa, como de costume.
Ele colocou a chave na mesa, como de costume.	Deixou a chave encima da mesa como sempre.
Temo que esta chave não entre.	Estou achando que essa chave não se encaixa.
Essa é a chave a qual estive procurando.	Eis a chave que estive procurando.
O menino jogou uma pedra no cachorro.	O menino jogou pedras no cachorro.
O menino jogou uma pedra no cachorro.	O menino jogava pedras no cachorro.
Aquele que estiver sem pecado atire a primeira pedra.	Quem dentre vós estiver sem pecado, que lhe atire a primeira pedra!
Ele pegou uma pedra.	Pegou uma pedra.
Joguei uma pedra no passarinho.	Atirei uma pedra ao pássaro.
Eu fui picado por muitos insetos na floresta.	Eu ganhei um monte de picadas de insetos na floresta
Um terço das florestas tropicais do mundo se encontra no Brasil.	Um terço das florestas virgens do mundo se encontram no Brasil.
Nós não vimos muitos cervos na floresta.	Vimos apenas poucos cervos na floresta.
É possível ver muitos animais nesta floresta.	Podem-se ver muitos animais neste bosque.
A ponte está em manutenção.	A ponte está sendo consertada.
Sinto muito por tê-lo chamado mentiroso.	Sinto muito por tê-la chamado mentirosa.
Como eu deveria te chamar?	Como eu deveria chamar você?
Liguei para ele hoje cedo.	Eu lhe telefonei hoje de manhã.
Vou vê-lo a cada dois dias.	Eu o visito de dois em dois dias.
Eu chamei a gata de "Tama".	Eu chamei o gatinho de Tama.
E se eu te ligar?	Por que eu não te ligo?
Eu a chamo de linda frequentemente.	Chamo-a muito frequentemente.
Eu chamo o menino.	Eu chamo o garçom.
Ele perdeu tudo o que tinha.	Ele perdeu todos os seus pertences.
Ele perdeu tudo o que tinha.	Eles perderam tudo.
Este anel é de ouro puro?	Esse anel é feito de ouro autêntico?
Nós encontramos um.	Eu encontrei alguém.
Nós encontramos uma.	Eu encontrei alguém.
O homem me bateu na cabeça.	O homem golpeou-me a cabeça.
Liguei para Tom esta tarde.	Hoje à tarde, telefonei para Tom.
Me ligue mais tarde, tudo bem?	Posso te ligar mais tarde hoje?
Me ligue mais tarde, tudo bem?	Posso te ligar hoje mais tarde?
Você já a chamou?	Você já ligou para ela?
Quem você ama?	Quem o senhor ama?
Quem você ama?	Quem a senhora ama?
O que você ama? O que você detesta?	O que vocês amam? O que vocês detestam?
O que você ama? O que você detesta?	O que é que amas? O que é que odeias?
Você sabe que eu te amo!	Vocês sabem que eu as amo!
Você não faz ideia do quanto eu te amo.	Tu não sabes o quanto eu te amo.
Tom veio para o Japão há três anos e tem vivido aqui desde então.	Tom veio para o Japão três anos atrás e vive aqui desde então.
Por que você não a procura?	Por que você não liga para ela?
Como você chama sua mãe?	Como chamas tua mãe?
Já ligou para o chefe?	Vocês já ligaram para o chefe?
Você já ligou para Lucy?	Lucy já ligou?
O que você me disse?	Como você me chamou?
Você chamou mais alguém?	Você ligou para mais alguém?
Já que não tem nada para fazer, por que não vem pescar comigo este final de semana?	Se você não tem nada planejado este fim de semana, por que não vem pescar comigo?
Por que você só não me diz o que quer que eu faça?	Por que vocês só não me dizem o que querem que eu faça?
Eu amo segunda-feira!	Amo a segunda-feira!
Por que você não pega um pouco de sushi?	Que tal provar um pouco de sushi?
Por que você não vai para casa?	Por que não retorna?
Por que ele não volta?	Por que você não vai para casa?
Por que você não responde ao seu pai?	Por que não respondes a teu pai?
Por que você não se junta a nós?	Você quer nos acompanhar?
Por que você não vai brincar com o Tom?	Por que não vais brincar com o Tom?
Tom exagerou.	Tom exagerava.
O Tom exagera.	Tom exagerava.
Tom está exagerando.	Tom exagerava.
Por que você nunca ajuda?	Por que vocês nunca ajudam?
Por que você não está me ajudando?	Por que você não me dá uma mão?
Por que você não dá uma olhada?	Por que vocês não dão uma olhada?
Por que é que você não gosta de Tom?	Por que é que vocês não gostam de Tom?
Por que você não começa desde o início?	Por que você não começa a falar do começo?
Por que você não diz isso ao Tom?	Por que você não conta para o Tom?
Por que não nos conta o que houve ontem à noite?	Por que não nos diz o que aconteceu na última noite?
Por que você não ajuda?	Por que você não está ajudando?
Eu sei quem mora nessa casa.	Eu sei quem mora nesta casa.
Por que não foste à escola hoje?	Por que não estivestes na escola hoje?
Por que você não mencionou isso?	Por que vocês não mencionaram isso?
Por que você não parou Tom?	Por que você não impediu Tom?
Por que você não me acordou?	Por que vocês não me acordaram?
Por que você não chamou a polícia?	Por que você não ligou para a polícia?
Por que o maltês não se encontra na lista de línguas?	Por que a lista de idiomas não inclui maltês?
Vem me ajudar a lavar os pratos.	Vá ajudar lavar a louça.
Vim para te ver.	Eu vim aqui para te ver.
Vim para te ver.	Eu vim aqui para ver-te.
Vim para te ver.	Vim aqui para vê-la.
Vim para te ver.	Eu vim aqui para vos ver.
Vim para te ver.	Vim aqui para ver vocês.
Vim para te ver.	Vim aqui para vê-las.
Vim para te ver.	Eu vim aqui para ver o senhor.
Vim para te ver.	Vim aqui para ver a senhora.
Vim para te ver.	Vim aqui para ver as senhoras.
Ele não pode vir com a gente.	Ele não pode vir conosco.
Pode ser que ele nos visite nesta noite.	Talvez ele apareça aqui hoje à noite.
Quero falar com meu advogado.	Eu exijo falar com o meu advogado.
O jovem é um médico.	O homem jovem é médico.
O que o médico disse?	O que os médicos disseram?
Vai ao médico de uma vez!	Consulte um médico.
Vai ao médico de uma vez!	Vá ver o doutor.
Vai ao médico de uma vez!	Vá ver o médico.
Não falo francês há muito tempo.	Eu não vinha falando em francês por um longo tempo.
Bob sempre vai para a cama às 10h00.	Bob tem o hábito de ir para a cama às 10h00.
Bob não podia controlar sua ira.	Bob não conseguia controlar sua raiva.
Eles estavam falando francês.	Falavam francês.
Não tenho vontade de fazer nada hoje.	Hoje não estou com vontade de fazer nada.
Hoje não quero fazer nada.	Hoje não estou com vontade de fazer nada.
Como vai seu estudo?	Como vão os seus estudos?
Nós decidimos que John seja o capitão.	Elegemos John para ser o capitão.
Nós decidimos que John seja o capitão.	Escolhemos o John para capitão.
Por que ela não te ajudou?	Por que ela não ajudou você?
O Tom poderia chegar aqui se quisesse.	Tom poderia vir aqui, se ele quisesse.
Ela queria te conhecer.	Ela queria conhecê-lo.
Ela queria te conhecer.	Ela queria conhecê-la.
Queres ver isso?	Você quer dar uma olhada?
Você quer ver isto?	Você quer dar uma olhada?
Você quer olhar isto?	Você quer dar uma olhada?
Você quer ver isso?	Você quer dar uma olhada?
Será que ele quer vê-lo?	Você quer dar uma olhada?
Você quer ver?	Você quer dar uma olhada?
Vocês querem ver?	Você quer dar uma olhada?
Queres ver?	Você quer dar uma olhada?
Você quer vê-la?	Você quer dar uma olhada?
Você quer dar uma olhada?	Queres vê-la?
Você quer dar uma olhada?	Vocês querem vê-la?
Querem vê-la?	Você quer dar uma olhada?
Ele quer falar.	Ela quer falar.
Tom não podia fazer o que queria.	Tom não era capaz do que queria fazer.
Tom não podia fazer o que queria.	Tom não foi capaz de fazer o que ele queria fazer.
Ele quer beijá-la.	Ela quer beijá-lo.
Ele quer comprar um novo dicionário para ele mesmo.	Acho que ele quer comprar um dicionário novo.
Acho que ele quer comprar um dicionário novo.	Ele quer adquirir um novo dicionário.
Ele quer ser um policial no futuro.	Ele gostaria de ser policial no futuro.
Ele quer nos ver de novo.	Ele quer nos ver novamente.
O menino pintou seu cabelo, porque queria ser reparado.	O menino tingiu os cabelos - ele queria chamar a atenção.
Ele quer conversar com você.	Ele quer conversar contigo.
Ele quer ir à América.	Quer ir aos Estados Unidos.
Ele quer ir à América.	Seu desejo é ir para a América.
Ele não tem certeza se quer fazer isso.	Ela não tem certeza de que quer fazer isto.
Ele admitiu sua vontade de fugir daqui.	Ele admitiu sua ansiedade para fugir daqui.
Ela queria se divorciar.	Ela quis se divorciar.
Ela queria entender.	Ela quis se divorciar.
Ela queria ajudá-los.	Ela queria ajudá-las.
Ela queria ficar sozinha.	Ela quis ficar sozinha.
Ela queria saber se o fotógrafo poderia remover o chapéu da fotografia.	Ela queria saber se o fotógrafo podia remover o chapéu daquela foto.
Queremos conversar com você.	Queremos conversar contigo.
Tudo o que queremos fazer é comer.	Tudo o que a gente quer fazer é comer.
Queremos ter certeza.	Queremos estar seguros.
Queremos ajudar-te.	Estamos querendo ajudá-lo.
Queremos votar.	Nós queremos votar.
Queremos falar com você a respeito de um problema.	Queremos falar contigo sobre um problema.
Queremos falar com vocês sobre um problema.	Queremos falar com você a respeito de um problema.
Estamos aqui porque queremos falar um novo idioma e, então, devemos falar!	Estamos aqui porque desejamos falar um novo idioma. Assim, comecemos a falar!
Eles querem a nossa ajuda.	Eles precisam da nossa ajuda.
Eles querem o Tom.	Elas precisam do Tom.
Eles querem que eu organize a festa.	Eles querem que tu organizes a festa.
Eles querem conhecê-la.	Eles querem conhecê-lo.
As crianças geralmente choram apenas para chamar atenção.	Muitas vezes as crianças choram só para chamar a atenção.
Eu contratei o Tom.	Contratei o Tom.
Eu gostei de Tom.	Gostei de Tom.
Eu gostei de Tom.	Gostei do Tom.
Eu quero o Tom	Quero o Tom.
Dei ao Tomás a minha palavra.	Prometi ao Tomás.
Eu admirava Tom.	Eu respeitava Tom.
Eu vou perguntar para o Tom.	Vou perguntar ao Tom.
Vou perguntar ao Tom.	Eu perguntarei ao Tom.
Vou perguntar ao Tom.	Perguntarei ao Tom.
Eu informarei o Tom.	Eu avisarei o Tomás.
Eu vou avisar ao Tom.	Eu informarei o Tom.
